epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.7495,4.84342,5.71446,4.48641,0.00091,0.01353,0.00017,4e-05,4.71173,51.949,6.25287,0.0033232,0.0033232,0.0033232
2,82.6719,3.86244,4.48002,3.3446,0.09755,0.14897,0.07068,0.02159,3.13731,5.54095,2.31805,0.00665581,0.00665581,0.00665581
3,118.673,2.37301,2.62195,2.12296,0.30757,0.41504,0.31253,0.12545,2.08929,2.36308,1.74575,0.00998549,0.00998549,0.00998549
4,154.248,1.91216,2.12846,1.78481,0.28705,0.41313,0.28615,0.14009,1.97512,2.74584,1.66407,0.00999013,0.00999013,0.00999013
5,189.758,1.67463,1.82043,1.57969,0.45146,0.6338,0.54949,0.29857,1.58264,1.58749,1.32354,0.00998246,0.00998246,0.00998246
6,225.279,1.51868,1.63598,1.45387,0.49834,0.6345,0.55957,0.32301,1.52647,1.43607,1.27029,0.00997261,0.00997261,0.00997261
7,260.986,1.42584,1.51757,1.36922,0.5987,0.64669,0.63753,0.37686,1.39186,1.36722,1.20866,0.00996057,0.00996057,0.00996057
8,296.568,1.32432,1.42012,1.2956,0.68796,0.71853,0.7161,0.43444,1.28358,1.20337,1.13294,0.00994636,0.00994636,0.00994636
9,332.204,1.26146,1.33049,1.25545,0.68019,0.67752,0.72356,0.46693,1.23026,1.11182,1.08867,0.00992998,0.00992998,0.00992998
10,367.77,1.21493,1.26175,1.22476,0.70915,0.74019,0.7378,0.48097,1.19378,1.0686,1.05525,0.00991144,0.00991144,0.00991144
11,403.275,1.16871,1.20769,1.19501,0.63799,0.70792,0.7412,0.4891,1.15837,1.03785,1.04633,0.00989074,0.00989074,0.00989074
12,438.938,1.13366,1.16841,1.16981,0.72295,0.75144,0.76346,0.51372,1.1057,0.99535,1.0273,0.0098679,0.0098679,0.0098679
13,474.422,1.10476,1.12054,1.1462,0.78793,0.75561,0.80358,0.53079,1.09874,0.93372,1.00275,0.00984292,0.00984292,0.00984292
14,509.96,1.06974,1.08089,1.13422,0.79307,0.74344,0.78994,0.53474,1.08592,0.93363,0.99882,0.00981581,0.00981581,0.00981581
15,545.529,1.0377,1.04578,1.11006,0.78201,0.79546,0.81882,0.56397,1.05625,0.87486,0.97993,0.0097866,0.0097866,0.0097866
16,580.979,1.02647,1.02141,1.10123,0.75484,0.78904,0.81658,0.56782,1.05036,0.91428,0.98399,0.00975529,0.00975529,0.00975529
17,616.585,0.99919,1.003,1.08832,0.81438,0.74879,0.83379,0.58218,1.03567,0.85018,0.96703,0.00972188,0.00972188,0.00972188
18,652.176,0.98627,0.96792,1.07769,0.7937,0.80231,0.83047,0.5819,1.03831,0.84384,0.96286,0.00968641,0.00968641,0.00968641
19,687.627,0.97456,0.94857,1.06262,0.83939,0.79938,0.86586,0.60729,0.99512,0.80557,0.95112,0.00964889,0.00964889,0.00964889
20,723.227,0.94561,0.91216,1.05371,0.80937,0.81244,0.86862,0.61477,0.97873,0.76726,0.93876,0.00960932,0.00960932,0.00960932
21,758.683,0.94261,0.8997,1.0517,0.8173,0.83462,0.87445,0.62016,0.99729,0.77349,0.92899,0.00956773,0.00956773,0.00956773
22,794.368,0.92232,0.86793,1.03354,0.85277,0.79046,0.87827,0.62289,0.96531,0.75897,0.93065,0.00952414,0.00952414,0.00952414
23,830.047,0.91062,0.85803,1.02958,0.81781,0.78999,0.86646,0.62932,0.94788,0.75399,0.92188,0.00947856,0.00947856,0.00947856
24,865.6,0.90705,0.85115,1.02407,0.85039,0.81554,0.86842,0.62951,0.94036,0.75506,0.91667,0.00943102,0.00943102,0.00943102
25,901.25,0.8931,0.83484,1.01821,0.8314,0.82214,0.87346,0.63736,0.9367,0.72622,0.9181,0.00938154,0.00938154,0.00938154
26,936.882,0.881,0.81504,1.01413,0.84655,0.82683,0.88814,0.65019,0.93525,0.71929,0.9212,0.00933013,0.00933013,0.00933013
27,972.522,0.87296,0.80547,1.00717,0.8668,0.80759,0.89516,0.65778,0.92505,0.71395,0.90303,0.00927683,0.00927683,0.00927683
28,1008.1,0.85984,0.79175,1.00468,0.8732,0.84054,0.89451,0.6543,0.91617,0.70565,0.907,0.00922165,0.00922165,0.00922165
29,1043.64,0.85933,0.78128,1.00136,0.84783,0.84524,0.89955,0.66389,0.90969,0.68165,0.90081,0.00916461,0.00916461,0.00916461
30,1079.17,0.85391,0.76024,0.99429,0.84618,0.84981,0.88677,0.65404,0.92721,0.71993,0.9139,0.00910575,0.00910575,0.00910575
31,1114.86,0.83927,0.75612,0.99254,0.84905,0.85467,0.89298,0.66137,0.90575,0.69092,0.88954,0.00904509,0.00904509,0.00904509
32,1150.43,0.8303,0.74016,0.98108,0.85991,0.85686,0.89405,0.66613,0.90955,0.67461,0.89416,0.00898266,0.00898266,0.00898266
33,1186.22,0.82624,0.73948,0.98649,0.83111,0.86748,0.8992,0.66885,0.90245,0.65617,0.88825,0.00891848,0.00891848,0.00891848
34,1224.54,0.81746,0.72263,0.98168,0.88595,0.85746,0.90998,0.67589,0.90428,0.63968,0.88951,0.00885258,0.00885258,0.00885258
35,1261.19,0.81348,0.7134,0.97656,0.87809,0.84737,0.91759,0.68719,0.88636,0.64362,0.88254,0.00878499,0.00878499,0.00878499
36,1296.73,0.80166,0.70044,0.97033,0.88885,0.84166,0.91247,0.68693,0.87223,0.63654,0.87908,0.00871574,0.00871574,0.00871574
37,1332.33,0.79414,0.69757,0.96795,0.84003,0.88281,0.91108,0.69187,0.86676,0.64339,0.87223,0.00864486,0.00864486,0.00864486
38,1367.91,0.79558,0.69134,0.96692,0.90435,0.84152,0.91979,0.69216,0.86871,0.62878,0.87201,0.00857238,0.00857238,0.00857238
39,1403.7,0.79316,0.68326,0.96533,0.86349,0.87816,0.92419,0.69873,0.86083,0.60791,0.8732,0.00849833,0.00849833,0.00849833
40,1439.25,0.77801,0.67317,0.96381,0.87489,0.85839,0.90987,0.68358,0.87023,0.61522,0.8731,0.00842275,0.00842275,0.00842275
41,1474.8,0.78128,0.66112,0.95929,0.8798,0.86885,0.92297,0.69997,0.84952,0.59724,0.87469,0.00834567,0.00834567,0.00834567
42,1510.35,0.77141,0.6557,0.95598,0.90688,0.88095,0.92695,0.70352,0.8415,0.60242,0.86725,0.00826712,0.00826712,0.00826712
43,1545.94,0.76813,0.64629,0.95297,0.86176,0.89806,0.93091,0.71291,0.85642,0.5866,0.87334,0.00818714,0.00818714,0.00818714
44,1581.44,0.76714,0.64807,0.95387,0.89663,0.8616,0.91849,0.70732,0.83738,0.59474,0.8678,0.00810576,0.00810576,0.00810576
45,1617.07,0.76494,0.6414,0.95161,0.87537,0.85228,0.91238,0.6985,0.84481,0.60738,0.86766,0.00802302,0.00802302,0.00802302
46,1652.59,0.76393,0.63685,0.9483,0.9173,0.85831,0.92995,0.71334,0.83968,0.57127,0.86644,0.00793895,0.00793895,0.00793895
47,1688.41,0.74793,0.6227,0.94541,0.8856,0.87956,0.92615,0.70387,0.85434,0.5802,0.86506,0.00785359,0.00785359,0.00785359
48,1723.92,0.74317,0.62206,0.9421,0.92033,0.87723,0.93207,0.70904,0.84267,0.5711,0.86106,0.00776698,0.00776698,0.00776698
49,1759.47,0.74345,0.60875,0.94127,0.87376,0.87953,0.92067,0.70878,0.84673,0.58254,0.8603,0.00767916,0.00767916,0.00767916
50,1795.02,0.74,0.61685,0.93902,0.88887,0.88146,0.92057,0.71356,0.82628,0.5706,0.8562,0.00759016,0.00759016,0.00759016
51,1830.62,0.74035,0.60251,0.93615,0.91533,0.86193,0.92805,0.71767,0.82201,0.57015,0.85076,0.00750002,0.00750002,0.00750002
52,1866.1,0.7303,0.59229,0.93162,0.89255,0.86363,0.92632,0.71272,0.83425,0.5581,0.85795,0.00740879,0.00740879,0.00740879
53,1901.51,0.7228,0.58769,0.92746,0.90272,0.88207,0.92604,0.70376,0.84233,0.57407,0.86209,0.00731651,0.00731651,0.00731651
54,1937.08,0.72769,0.58545,0.92985,0.90676,0.87372,0.92831,0.71364,0.82048,0.56216,0.85591,0.0072232,0.0072232,0.0072232
55,1972.72,0.72028,0.58181,0.92692,0.87915,0.88969,0.92352,0.72047,0.81212,0.55001,0.85064,0.00712893,0.00712893,0.00712893
56,2008.49,0.71923,0.57992,0.92741,0.87328,0.87709,0.91929,0.708,0.82504,0.55444,0.85639,0.00703371,0.00703371,0.00703371
57,2044.11,0.71933,0.58045,0.92537,0.85111,0.89627,0.92661,0.72071,0.81189,0.55636,0.85679,0.00693761,0.00693761,0.00693761
58,2079.88,0.71404,0.56975,0.926,0.92132,0.87368,0.9308,0.72562,0.8104,0.55309,0.85726,0.00684065,0.00684065,0.00684065
59,2115.69,0.70956,0.56291,0.92074,0.9052,0.86169,0.92349,0.72251,0.79694,0.54341,0.85014,0.00674289,0.00674289,0.00674289
60,2151.43,0.70558,0.55469,0.91887,0.88166,0.88672,0.93104,0.72581,0.80486,0.53958,0.84623,0.00664437,0.00664437,0.00664437
61,2187.09,0.6979,0.55168,0.91828,0.90502,0.8863,0.93449,0.72688,0.7965,0.53543,0.84833,0.00654512,0.00654512,0.00654512
62,2222.7,0.69388,0.5475,0.91506,0.90595,0.89062,0.93115,0.72536,0.80719,0.55007,0.85344,0.00644519,0.00644519,0.00644519
63,2258.5,0.69111,0.53907,0.91547,0.9071,0.88471,0.93521,0.73657,0.79258,0.53811,0.84577,0.00634464,0.00634464,0.00634464
64,2294.17,0.6896,0.54098,0.91151,0.92895,0.85817,0.93163,0.72704,0.80214,0.53029,0.84955,0.00624349,0.00624349,0.00624349
65,2329.77,0.68394,0.53504,0.91211,0.93261,0.87561,0.93391,0.73464,0.79582,0.52681,0.84141,0.00614179,0.00614179,0.00614179
66,2365.37,0.68481,0.52976,0.91433,0.90808,0.88999,0.93267,0.72883,0.80196,0.53701,0.84442,0.0060396,0.0060396,0.0060396
67,2401.17,0.68635,0.52971,0.91464,0.88781,0.90679,0.93381,0.73156,0.80336,0.53238,0.84397,0.00593695,0.00593695,0.00593695
68,2436.9,0.68151,0.52843,0.90779,0.92048,0.88866,0.93781,0.73435,0.80675,0.51794,0.84715,0.00583389,0.00583389,0.00583389
69,2472.67,0.68292,0.52352,0.90914,0.91847,0.88604,0.93598,0.73806,0.78989,0.51013,0.84139,0.00573046,0.00573046,0.00573046
70,2508.34,0.67595,0.51553,0.90819,0.90831,0.86639,0.92936,0.72956,0.79193,0.52113,0.84306,0.00562671,0.00562671,0.00562671
71,2544.02,0.66408,0.5156,0.90489,0.91237,0.86047,0.92515,0.72411,0.79108,0.53311,0.84246,0.00552269,0.00552269,0.00552269
72,2579.59,0.67572,0.51281,0.90195,0.8957,0.88674,0.93304,0.73661,0.78818,0.5326,0.84041,0.00541844,0.00541844,0.00541844
73,2615.12,0.67103,0.50932,0.90484,0.90209,0.89069,0.93552,0.74384,0.78511,0.52316,0.84092,0.005314,0.005314,0.005314
74,2650.58,0.66625,0.50831,0.90167,0.90694,0.87796,0.9334,0.73806,0.79005,0.52822,0.83758,0.00520943,0.00520943,0.00520943
75,2686.21,0.65291,0.49764,0.89762,0.90785,0.88035,0.93141,0.7394,0.77719,0.5214,0.84012,0.00510476,0.00510476,0.00510476
76,2721.79,0.65763,0.49641,0.89746,0.88776,0.90378,0.93456,0.73753,0.78455,0.52069,0.84432,0.00500005,0.00500005,0.00500005
77,2757.34,0.6547,0.49148,0.89524,0.91104,0.88687,0.93342,0.73969,0.78342,0.5307,0.83436,0.00489534,0.00489534,0.00489534
78,2792.9,0.65138,0.49342,0.89597,0.90171,0.90326,0.93304,0.73868,0.77201,0.51571,0.83759,0.00479067,0.00479067,0.00479067
79,2828.46,0.65456,0.49156,0.89508,0.91547,0.89516,0.93312,0.74144,0.77676,0.53168,0.83698,0.0046861,0.0046861,0.0046861
80,2864.06,0.64903,0.48733,0.8922,0.89444,0.90612,0.92947,0.73979,0.7751,0.52469,0.83365,0.00458166,0.00458166,0.00458166
81,2899.63,0.64407,0.47992,0.89105,0.91361,0.88539,0.93117,0.73865,0.76907,0.52727,0.83221,0.00447741,0.00447741,0.00447741
82,2935.23,0.63861,0.47475,0.89221,0.91062,0.87568,0.92326,0.73596,0.77799,0.53111,0.83296,0.00437339,0.00437339,0.00437339
83,2970.89,0.63709,0.47519,0.89135,0.92214,0.86399,0.92964,0.73804,0.77377,0.52083,0.83389,0.00426964,0.00426964,0.00426964
